κ,h,K_gain,L_no_attack,L_attack
0.1,0.0,0.1,3.0053722198459702,4.530284615917087
0.1,0.0,0.2,2.5202599809916344,5.328004801484986
0.1,0.0,0.3,2.3250573362756257,5.877068403665336
0.1,0.0,0.4,2.2328045706654778,6.239497667583284
0.1,0.0,0.5,2.1853371324724584,6.489043780665642
0.1,0.0,0.6,2.1599124188471333,6.668862699463151
0.1,0.0,0.7,2.1462580266284523,6.803586915547516
0.1,0.0,0.8,2.1392495651211094,6.907822061034482
0.1,0.0,0.9,2.1361397116970444,6.99063084078399
0.1,0.0,1.0,2.13537389895454,7.057879391809776
0.1,0.3,0.0,4.611955273462854,4.611955273462854
0.1,0.3,0.1,3.003472358330434,4.549990714984999
0.1,0.3,0.2,2.5298502472036266,5.386236849430889
0.1,0.3,0.3,2.3361204846980304,5.952675121018697
0.1,0.3,0.4,2.2433033621289176,6.322646715599567
0.1,0.3,0.5,2.194872588321278,6.574906994015751
0.1,0.3,0.6,2.1684929480668305,6.755004714962489
0.1,0.3,0.7,2.1539890764447587,6.888772275792295
0.1,0.3,0.8,2.146246169681132,6.991440521286704
0.1,0.3,0.9,2.142502446124081,7.0724068734681875
0.1,0.3,1.0,2.14118422326045,7.1377191300522185
0.1,0.5,0.0,4.52319351696514,4.52319351696514
0.1,0.5,0.1,3.011072487186712,4.576019448891193
0.1,0.5,0.2,2.552083818362788,5.450964698133543
0.1,0.5,0.3,2.360393565275983,6.033192141452986
0.1,0.5,0.4,2.2665967642806018,6.408624517744491
0.1,0.5,0.5,2.2163800360126604,6.6614688066253365
0.1,0.5,0.6,2.1880570260718994,6.83983820859161
0.1,0.5,0.7,2.1716633471377693,6.970824672048543
0.1,0.5,0.8,2.1621516433530346,7.0702960020140715
0.1,0.5,0.9,2.156776190590183,7.147975942172509
0.1,0.5,1.0,2.1539603805940977,7.210077980885085
0.1,0.7,0.0,4.284543885188504,4.284543885188504
0.1,0.7,0.1,2.960635043940318,4.538749227516959
0.1,0.7,0.2,2.5408055683577073,5.474155280506568
0.1,0.7,0.3,2.359757859335983,6.077360770688532
0.1,0.7,0.4,2.2681213957591315,6.457404978081965
0.1,0.7,0.5,2.2170039676990405,6.707750682487033
0.1,0.7,0.6,2.18660403661406,6.880617978361197
0.1,0.7,0.7,2.1677152284530896,7.005001131399164
0.1,0.7,0.8,2.155621624271936,7.097664182346478
0.1,0.7,0.9,2.1477275893763372,7.168747620575664
0.1,0.7,1.0,2.1425231457333633,7.2246464918043065
0.1,0.9,0.0,3.334118916101652,3.334118916101652
