period,variable,shock,value
8,ν,ε_ν,0.0050388480000000055
9,ν,ε_ν,0.003023308800000004
10,ν,ε_ν,0.0018139852800000025
11,ν,ε_ν,0.0010883911680000017
12,ν,ε_ν,0.0006530347008000011
13,ν,ε_ν,0.0003918208204800007
14,ν,ε_ν,0.00023509249228800046
15,ν,ε_ν,0.0001410554953728003
0,π,ε_ν,-0.021459227467811197
1,π,ε_ν,-0.012875536480686737
2,π,ε_ν,-0.007725321888412045
3,π,ε_ν,-0.004635193133047229
4,π,ε_ν,-0.0027811158798283385
5,π,ε_ν,-0.0016686695278970041
6,π,ε_ν,-0.0010012017167382033
7,π,ε_ν,-0.0006007210300429225
8,π,ε_ν,-0.00036043261802575394
9,π,ε_ν,-0.00021625957081545274
10,π,ε_ν,-0.00012975574248927192
11,π,ε_ν,-7.785344549356336e-5
12,π,ε_ν,-4.671206729613819e-5
13,π,ε_ν,-2.8027240377683048e-5
14,π,ε_ν,-1.6816344226609934e-5
15,π,ε_ν,-1.0089806535966046e-5
0,attack,ε_att,1.0
1,attack,ε_att,0.7999999999999999
2,attack,ε_att,0.6399999999999999
3,attack,ε_att,0.5119999999999999
4,attack,ε_att,0.4095999999999999
5,attack,ε_att,0.3276799999999999
6,attack,ε_att,0.26214399999999993
7,attack,ε_att,0.20971519999999993
8,attack,ε_att,0.16777215999999992
9,attack,ε_att,0.13421772799999993
10,attack,ε_att,0.10737418239999993
11,attack,ε_att,0.08589934591999994
12,attack,ε_att,0.06871947673599994
13,attack,ε_att,0.05497558138879995
14,attack,ε_att,0.04398046511103996
15,attack,ε_att,0.03518437208883196
0,i,ε_att,-0.017057569296375363
1,i,ε_att,-0.013646055437100402
2,i,ε_att,-0.010916844349680368
3,i,ε_att,-0.008733475479744332
4,i,ε_att,-0.006986780383795497
5,i,ε_att,-0.005589424307036421
6,i,ε_att,-0.004471539445629157
7,i,ε_att,-0.003577231556503341
8,i,ε_att,-0.002861785245202686
9,i,ε_att,-0.0022894281961621586
10,i,ε_att,-0.0018315425569297343
11,i,ε_att,-0.001465234045543794
12,i,ε_att,-0.0011721872364350405
13,i,ε_att,-0.0009377497891480363
14,i,ε_att,-0.0007501998313184323
15,i,ε_att,-0.0006001598650547485
0,rn,ε_att,5.181040781584061e-17
1,rn,ε_att,-1.7036505352304685e-17
2,rn,ε_att,-6.041706956582549e-17
3,rn,ε_att,-8.57639478798458e-17
4,rn,ε_att,-9.855539208562497e-17
5,rn,ε_att,-1.0279970069389865e-16
6,rn,ε_att,-1.0140407017543787e-16
7,rn,ε_att,-9.645470383660546e-17
8,rn,ε_att,-8.942892122628851e-17
9,rn,ε_att,-8.135526350663411e-17
10,rn,ε_att,-7.293391202578994e-17
11,rn,ε_att,-6.462689059701808e-17
12,rn,ε_att,-5.672532125872336e-17
13,rn,ε_att,-4.939930403186581e-17
14,rn,ε_att,-4.2734680845402346e-17
15,rn,ε_att,-3.6759934772249636e-17
0,ygap,ε_att,-0.554371002132196
1,ygap,ε_att,-0.4434968017057568
2,ygap,ε_att,-0.35479744136460545
3,ygap,ε_att,-0.2838379530916844
4,ygap,ε_att,-0.22707036247334755
5,ygap,ε_att,-0.18165628997867805
6,ygap,ε_att,-0.14532503198294244
7,ygap,ε_att,-0.11626002558635397
8,ygap,ε_att,-0.09300802046908319
9,ygap,ε_att,-0.07440641637526656
10,ygap,ε_att,-0.05952513310021324
11,ygap,ε_att,-0.0476201064801706
12,ygap,ε_att,-0.03809608518413648
13,ygap,ε_att,-0.03047686814730919
14,ygap,ε_att,-0.024381494517847355
15,ygap,ε_att,-0.019505195614277885
0,ν,ε_att,0.0
1,ν,ε_att,7.310603950622148e-18
2,ν,ε_att,1.0234845530871007e-17
3,ν,ε_att,1.081969384692078e-17
4,ν,ε_att,1.0234845530871007e-17
5,ν,ε_att,9.135330696697437e-18
6,ν,ε_att,7.876737120558328e-18
7,ν,ε_att,6.6424732343668895e-18
8,ν,ε_att,5.518628710245648e-18
9,ν,ε_att,4.5376930418477996e-18
10,ν,ε_att,3.703828477669008e-18
11,ν,ε_att,3.0072672086496678e-18
12,ν,ε_att,2.432336422828411e-18
13,ν,ε_att,1.9617827318079348e-18
14,ν,ε_att,1.5789743415734715e-18
15,ν,ε_att,1.2689083669350513e-18
0,π,ε_att,-0.15991471215351827
1,π,ε_att,-0.12793176972281467
2,π,ε_att,-0.10234541577825172
3,π,ε_att,-0.08187633262260138
4,π,ε_att,-0.06550106609808112
5,π,ε_att,-0.0524008528784649
6,π,ε_att,-0.041920682302771926
7,π,ε_att,-0.03353654584221755
8,π,ε_att,-0.02682923667377404
9,π,ε_att,-0.021463389339019232
10,π,ε_att,-0.017170711471215384
11,π,ε_att,-0.01373656917697231
12,π,ε_att,-0.01098925534157785
13,π,ε_att,-0.008791404273262278
14,π,ε_att,-0.007033123418609824
15,π,ε_att,-0.00562649873488786
