ρ_p,K_opt,L_at_Kopt,L_at_K1,L_no_attack_at_Kopt,L_no_attack_at_K1,crossover_p
0.5,0.075,4.831132347430648,9.591695737518403,4.613689271431832,2.9532378374546138,0.25859641808551853
0.7,0.05,4.83085208964176,9.591695737518403,4.573697732314503,2.9532378374546138,0.25393869512826495
0.85,0.025,4.856905395301491,9.591695737518403,4.621680586598335,2.9532378374546138,0.26056255103298
0.95,0.0,5.094323356218399,9.591695737518403,5.094323356218399,2.9532378374546138,0.32252754344396933
