κ,L_on_naive,L_off_naive,L_on_opt,K_opt,p_crossover
0.06,4.767196999379788,1.366048013647024,3.032988257320647,0.05,0.39203432257654663
0.1,7.2246464918043065,2.1425231457333633,4.058490668855061,0.05,0.2855962984174969
0.15,9.591695737518403,2.9532378374546138,5.0024350108644535,0.05,0.22453839002427545
0.2,11.445902506703527,3.6295308738296104,5.731176075562139,0.05,0.1896719830643753
