scenario,period,variable,shock,value
+ Habit (h=0.7),14,π,ε_rn,0.006459457984317624
+ Habit (h=0.7),15,π,ε_rn,0.005168435824681222
+ Habit (h=0.7),0,attack,ε_ν,0.0
+ Habit (h=0.7),1,attack,ε_ν,0.0
+ Habit (h=0.7),2,attack,ε_ν,0.0
+ Habit (h=0.7),3,attack,ε_ν,0.0
+ Habit (h=0.7),4,attack,ε_ν,0.0
+ Habit (h=0.7),5,attack,ε_ν,0.0
+ Habit (h=0.7),6,attack,ε_ν,0.0
+ Habit (h=0.7),7,attack,ε_ν,0.0
+ Habit (h=0.7),8,attack,ε_ν,0.0
+ Habit (h=0.7),9,attack,ε_ν,0.0
+ Habit (h=0.7),10,attack,ε_ν,0.0
+ Habit (h=0.7),11,attack,ε_ν,0.0
+ Habit (h=0.7),12,attack,ε_ν,0.0
+ Habit (h=0.7),13,attack,ε_ν,0.0
+ Habit (h=0.7),14,attack,ε_ν,0.0
+ Habit (h=0.7),15,attack,ε_ν,0.0
+ Habit (h=0.7),0,i,ε_ν,0.09704471315901368
+ Habit (h=0.7),1,i,ε_ν,0.03885820871523686
+ Habit (h=0.7),2,i,ε_ν,0.013475323444022797
+ Habit (h=0.7),3,i,ε_ν,0.0030865019867614184
+ Habit (h=0.7),4,i,ε_ν,-0.0006875229688849678
+ Habit (h=0.7),5,i,ε_ν,-0.0017025862575743402
+ Habit (h=0.7),6,i,ε_ν,-0.0016769314345360805
+ Habit (h=0.7),7,i,ε_ν,-0.001339103352488873
+ Habit (h=0.7),8,i,ε_ν,-0.0009726037135973279
+ Habit (h=0.7),9,i,ε_ν,-0.0006694892102772095
+ Habit (h=0.7),10,i,ε_ν,-0.0004453459558403914
+ Habit (h=0.7),11,i,ε_ν,-0.0002893837813665619
+ Habit (h=0.7),12,i,ε_ν,-0.00018489617541036244
+ Habit (h=0.7),13,i,ε_ν,-0.00011666098544327058
+ Habit (h=0.7),14,i,ε_ν,-7.290411903135485e-5
+ Habit (h=0.7),15,i,ε_ν,-4.521954704947682e-5
+ Habit (h=0.7),0,rn,ε_ν,0.0
+ Habit (h=0.7),1,rn,ε_ν,-1.045790518881918e-18
+ Habit (h=0.7),2,rn,ε_ν,-1.4641067264346855e-18
+ Habit (h=0.7),3,rn,ε_ν,-1.5477699679452395e-18
+ Habit (h=0.7),4,rn,ε_ν,-1.4641067264346867e-18
+ Habit (h=0.7),5,rn,ε_ν,-1.3068198323948464e-18
+ Habit (h=0.7),6,rn,ε_ν,-1.1267765366641355e-18
+ Habit (h=0.7),7,rn,ε_ν,-9.502136317802636e-19
+ Habit (h=0.7),8,rn,ε_ν,-7.894463468935841e-19
+ Habit (h=0.7),9,rn,ε_ν,-6.491223423964912e-19
+ Habit (h=0.7),10,rn,ε_ν,-5.298370328461674e-19
+ Habit (h=0.7),11,rn,ε_ν,-4.3019312163431866e-19
+ Habit (h=0.7),12,rn,ε_ν,-3.4794859452188577e-19
+ Habit (h=0.7),13,rn,ε_ν,-2.8063533394616716e-19
+ Habit (h=0.7),14,rn,ε_ν,-2.258741421541289e-19
+ Habit (h=0.7),15,rn,ε_ν,-1.815188387216202e-19
+ Habit (h=0.7),0,ygap,ε_ν,-0.05597988766229108
+ Habit (h=0.7),1,ygap,ε_ν,-0.06202670757915345
+ Habit (h=0.7),2,ygap,ε_ν,-0.0516634262168785
+ Habit (h=0.7),3,ygap,ε_ν,-0.03833759180825723
+ Habit (h=0.7),4,ygap,ε_ν,-0.02673116948046325
+ Habit (h=0.7),5,ygap,ε_ν,-0.017932903877953436
+ Habit (h=0.7),6,ygap,ε_ν,-0.011722030607290723
+ Habit (h=0.7),7,ygap,ε_ν,-0.007522077864099859
+ Habit (h=0.7),8,ygap,ε_ν,-0.004761596007659389
+ Habit (h=0.7),9,ygap,ε_ν,-0.002983123444638684
+ Habit (h=0.7),10,ygap,ε_ν,-0.0018539685493769715
+ Habit (h=0.7),11,ygap,ε_ν,-0.0011449422626361972
+ Habit (h=0.7),12,ygap,ε_ν,-0.0007035069901839456
+ Habit (h=0.7),13,ygap,ε_ν,-0.0004305076366153598
+ Habit (h=0.7),14,ygap,ε_ν,-0.00026257367968362204
+ Habit (h=0.7),15,ygap,ε_ν,-0.0001597129851040406
+ Habit (h=0.7),0,ν,ε_ν,0.3
+ Habit (h=0.7),1,ν,ε_ν,0.18000000000000005
+ Habit (h=0.7),2,ν,ε_ν,0.10800000000000007
+ Habit (h=0.7),3,ν,ε_ν,0.06480000000000007
+ Habit (h=0.7),4,ν,ε_ν,0.03888000000000005
+ Habit (h=0.7),5,ν,ε_ν,0.02332800000000004
+ Habit (h=0.7),6,ν,ε_ν,0.013996800000000028
+ Habit (h=0.7),7,ν,ε_ν,0.00839808000000002
+ Habit (h=0.7),8,ν,ε_ν,0.005038848000000013
+ Habit (h=0.7),9,ν,ε_ν,0.003023308800000009
+ Habit (h=0.7),10,ν,ε_ν,0.001813985280000006
+ Habit (h=0.7),11,ν,ε_ν,0.0010883911680000039
+ Habit (h=0.7),12,ν,ε_ν,0.0006530347008000025
+ Habit (h=0.7),13,ν,ε_ν,0.0003918208204800016
+ Habit (h=0.7),14,ν,ε_ν,0.00023509249228800106
+ Habit (h=0.7),15,ν,ε_ν,0.00014105549537280068
+ Habit (h=0.7),0,π,ε_ν,-0.016643562006560513
+ Habit (h=0.7),1,π,ε_ν,-0.013418958330124292
+ Habit (h=0.7),2,π,ε_ν,-0.009795308965025316
+ Habit (h=0.7),3,π,ε_ν,-0.006763134739406658
+ Habit (h=0.7),4,π,ε_ν,-0.0045079588191022394
+ Habit (h=0.7),5,π,ε_ν,-0.00293342287906509
+ Habit (h=0.7),6,π,ε_ν,-0.0018762107539271524
+ Habit (h=0.7),7,π,ε_ν,-0.0011847362802926335
+ Habit (h=0.7),8,π,ε_ν,-0.0007408198065117586
+ Habit (h=0.7),9,π,ε_ν,-0.0004597212586385805
+ Habit (h=0.7),10,π,ε_ν,-0.0002835695474346052
+ Habit (h=0.7),11,π,ε_ν,-0.00017407215603230976
+ Habit (h=0.7),12,π,ε_ν,-0.00010644002047892704
+ Habit (h=0.7),13,π,ε_ν,-6.487838491706084e-5
+ Habit (h=0.7),14,π,ε_ν,-3.944235022236282e-5
+ Habit (h=0.7),15,π,ε_ν,-2.392720145590452e-5
+ Habit (h=0.7),0,attack,ε_att,1.0
+ Habit (h=0.7),1,attack,ε_att,0.8000000000000002
+ Habit (h=0.7),2,attack,ε_att,0.6400000000000002
+ Habit (h=0.7),3,attack,ε_att,0.5120000000000002
+ Habit (h=0.7),4,attack,ε_att,0.40960000000000024
+ Habit (h=0.7),5,attack,ε_att,0.32768000000000025
+ Habit (h=0.7),6,attack,ε_att,0.26214400000000027
+ Habit (h=0.7),7,attack,ε_att,0.20971520000000024
+ Habit (h=0.7),8,attack,ε_att,0.16777216000000023
+ Habit (h=0.7),9,attack,ε_att,0.1342177280000002
+ Habit (h=0.7),10,attack,ε_att,0.10737418240000018
+ Habit (h=0.7),11,attack,ε_att,0.08589934592000016
+ Habit (h=0.7),12,attack,ε_att,0.06871947673600014
+ Habit (h=0.7),13,attack,ε_att,0.05497558138880012
+ Habit (h=0.7),14,attack,ε_att,0.043980465111040104
+ Habit (h=0.7),15,attack,ε_att,0.03518437208883209
+ Habit (h=0.7),0,i,ε_att,0.18150420481028323
+ Habit (h=0.7),1,i,ε_att,0.06479677133208762
+ Habit (h=0.7),2,i,ε_att,0.010989443139520423
+ Habit (h=0.7),3,i,ε_att,-0.011959940131518817
+ Habit (h=0.7),4,i,ε_att,-0.020110079132190883
+ Habit (h=0.7),5,i,ε_att,-0.02144365065809118
+ Habit (h=0.7),6,i,ε_att,-0.019875653810670135
+ Habit (h=0.7),7,i,ε_att,-0.017282703772468506
+ Habit (h=0.7),8,i,ε_att,-0.014528335320091524
+ Habit (h=0.7),9,i,ε_att,-0.011979384229116988
+ Habit (h=0.7),10,i,ε_att,-0.009764725419153129
+ Habit (h=0.7),11,i,ε_att,-0.007903842309000254
+ Habit (h=0.7),12,i,ε_att,-0.006369842961307655
+ Habit (h=0.7),13,i,ε_att,-0.0051196339078330355
+ Habit (h=0.7),14,i,ε_att,-0.0041077773930255895
+ Habit (h=0.7),15,i,ε_att,-0.003292353823837737
+ Habit (h=0.7),0,rn,ε_att,0.0
+ Habit (h=0.7),1,rn,ε_att,-7.110695538133681e-18
+ Habit (h=0.7),2,rn,ε_att,-1.1377112861013893e-17
+ Habit (h=0.7),3,rn,ε_att,-1.3652535433216676e-17
+ Habit (h=0.7),4,rn,ε_att,-1.456270446209779e-17
+ Habit (h=0.7),5,rn,ε_att,-1.4562704462097793e-17
+ Habit (h=0.7),6,rn,ε_att,-1.3980196283613884e-17
+ Habit (h=0.7),7,rn,ε_att,-1.3048183198039628e-17
+ Habit (h=0.7),8,rn,ε_att,-1.1929767495350521e-17
+ Habit (h=0.7),9,rn,ε_att,-1.0736790745815471e-17
+ Habit (h=0.7),10,rn,ε_att,-9.543813996280422e-18
+ Habit (h=0.7),11,rn,ε_att,-8.398556316726773e-18
+ Habit (h=0.7),12,rn,ε_att,-7.329649149143367e-18
+ Habit (h=0.7),13,rn,ε_att,-6.352362595924253e-18
+ Habit (h=0.7),14,rn,ε_att,-5.47280469802705e-18
+ Habit (h=0.7),15,rn,ε_att,-4.690975455451758e-18
+ Habit (h=0.7),0,ygap,ε_att,-0.23239405837299584
+ Habit (h=0.7),1,ygap,ε_att,-0.3039755467304727
+ Habit (h=0.7),2,ygap,ε_att,-0.3031571620099827
+ Habit (h=0.7),3,ygap,ε_att,-0.27299496859719985
+ Habit (h=0.7),4,ygap,ε_att,-0.23387488824585484
+ Habit (h=0.7),5,ygap,ε_att,-0.19496347289772487
+ Habit (h=0.7),6,ygap,ε_att,-0.1599656073214747
+ Habit (h=0.7),7,ygap,ε_att,-0.130001929785341
+ Habit (h=0.7),8,ygap,ε_att,-0.10503253730863295
+ Habit (h=0.7),9,ygap,ε_att,-0.0845497928057126
+ Habit (h=0.7),10,ygap,ε_att,-0.06790591510952537
+ Habit (h=0.7),11,ygap,ε_att,-0.05445990588237798
+ Habit (h=0.7),12,ygap,ε_att,-0.04363659538912593
+ Habit (h=0.7),13,ygap,ε_att,-0.03494416223532798
+ Habit (h=0.7),14,ygap,ε_att,-0.027973052455900215
+ Habit (h=0.7),15,ygap,ε_att,-0.022387445393953
+ Habit (h=0.7),0,ν,ε_att,0.0
+ Habit (h=0.7),1,ν,ε_att,-1.7629267361614655e-18
+ Habit (h=0.7),2,ν,ε_att,-2.4680974306260525e-18
+ Habit (h=0.7),3,ν,ε_att,-2.6091315695189704e-18
+ Habit (h=0.7),4,ν,ε_att,-2.4680974306260536e-18
+ Habit (h=0.7),5,ν,ε_att,-2.2029532495073693e-18
+ Habit (h=0.7),6,ν,ε_att,-1.8994477826098114e-18
+ Habit (h=0.7),7,ν,ε_att,-1.6018093358901988e-18
+ Habit (h=0.7),8,ν,ε_att,-1.330798134593569e-18
+ Habit (h=0.7),9,ν,ε_att,-1.0942489072037012e-18
+ Habit (h=0.7),10,ν,ε_att,-8.931653654802686e-19
+ Habit (h=0.7),11,ν,ε_att,-7.251920362145995e-19
+ Habit (h=0.7),12,ν,ε_att,-5.865494752699104e-19
+ Habit (h=0.7),13,ν,ε_att,-4.730770879948669e-19
+ Habit (h=0.7),14,ν,ε_att,-3.807641750632566e-19
+ Habit (h=0.7),15,ν,ε_att,-3.0599284285102316e-19
+ Habit (h=0.7),0,π,ε_att,-0.13486584400214588
+ Habit (h=0.7),1,π,ε_att,-0.12214363686845066
+ Habit (h=0.7),2,π,ε_att,-0.10495465057032549
+ Habit (h=0.7),3,π,ε_att,-0.08764163722194594
+ Habit (h=0.7),4,π,ε_att,-0.07198175667284232
+ Habit (h=0.7),5,π,ε_att,-0.058534609472819195
+ Habit (h=0.7),6,π,ε_att,-0.047309900099955234
+ Habit (h=0.7),7,π,ε_att,-0.038092892586532055
+ Habit (h=0.7),8,π,ε_att,-0.03059876444385008
+ Habit (h=0.7),9,π,ε_att,-0.0245422345508405
+ Habit (h=0.7),10,π,ε_att,-0.019665906042927003
+ Habit (h=0.7),11,π,ε_att,-0.015749041551874215
+ Habit (h=0.7),12,π,ε_att,-0.01260752242316316
+ Habit (h=0.7),13,π,ε_att,-0.010090228989712726
+ Habit (h=0.7),14,π,ε_att,-0.008074322480397016
+ Habit (h=0.7),15,π,ε_att,-0.006460544780851513
+ Smoothing (ρ_i=0.7),0,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),1,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),2,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),3,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),4,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),5,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),6,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),7,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),8,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),9,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),10,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),11,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),12,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),13,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),14,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),15,attack,ε_rn,0.0
+ Smoothing (ρ_i=0.7),0,i,ε_rn,0.1593035995514098
+ Smoothing (ρ_i=0.7),1,i,ε_rn,0.20482815261407486
+ Smoothing (ρ_i=0.7),2,i,ε_rn,0.20145414268213643
+ Smoothing (ρ_i=0.7),3,i,ε_rn,0.17942428143779876
+ Smoothing (ρ_i=0.7),4,i,ε_rn,0.1524100968904113
+ Smoothing (ρ_i=0.7),5,i,ε_rn,0.1262372039601913
+ Smoothing (ρ_i=0.7),6,i,ε_rn,0.10308301735312927
+ Smoothing (ρ_i=0.7),7,i,ε_rn,0.08348325874327428
+ Smoothing (ρ_i=0.7),8,i,ε_rn,0.06728056204236144
+ Smoothing (ρ_i=0.7),9,i,ε_rn,0.054064399304289065
+ Smoothing (ρ_i=0.7),10,i,ε_rn,0.04336808034221794
+ Smoothing (ρ_i=0.7),11,i,ε_rn,0.034751086327488016
+ Smoothing (ρ_i=0.7),12,i,ε_rn,0.027828374486194633
+ Smoothing (ρ_i=0.7),13,i,ε_rn,0.02227606096161944
+ Smoothing (ρ_i=0.7),14,i,ε_rn,0.017827339353775676
+ Smoothing (ρ_i=0.7),15,i,ε_rn,0.014265024429050404
+ Smoothing (ρ_i=0.7),0,rn,ε_rn,0.39999999999999997
+ Smoothing (ρ_i=0.7),1,rn,ε_rn,0.32
+ Smoothing (ρ_i=0.7),2,rn,ε_rn,0.256
+ Smoothing (ρ_i=0.7),3,rn,ε_rn,0.2048
+ Smoothing (ρ_i=0.7),4,rn,ε_rn,0.16384
+ Smoothing (ρ_i=0.7),5,rn,ε_rn,0.13107200000000002
+ Smoothing (ρ_i=0.7),6,rn,ε_rn,0.10485760000000002
+ Smoothing (ρ_i=0.7),7,rn,ε_rn,0.08388608000000003
+ Smoothing (ρ_i=0.7),8,rn,ε_rn,0.06710886400000003
+ Smoothing (ρ_i=0.7),9,rn,ε_rn,0.05368709120000003
+ Smoothing (ρ_i=0.7),10,rn,ε_rn,0.042949672960000025
+ Smoothing (ρ_i=0.7),11,rn,ε_rn,0.03435973836800002
+ Smoothing (ρ_i=0.7),12,rn,ε_rn,0.027487790694400018
+ Smoothing (ρ_i=0.7),13,rn,ε_rn,0.021990232555520017
+ Smoothing (ρ_i=0.7),14,rn,ε_rn,0.017592186044416015
+ Smoothing (ρ_i=0.7),15,rn,ε_rn,0.014073748835532814
+ Smoothing (ρ_i=0.7),0,ygap,ε_rn,0.7188030283437012
+ Smoothing (ρ_i=0.7),1,ygap,ε_rn,0.40610783208237333
+ Smoothing (ρ_i=0.7),2,ygap,ε_rn,0.2428225242037256
+ Smoothing (ρ_i=0.7),3,ygap,ε_rn,0.15439372846111543
+ Smoothing (ρ_i=0.7),4,ygap,ε_rn,0.1041500152351974
+ Smoothing (ρ_i=0.7),5,ygap,ε_rn,0.07391304773206833
+ Smoothing (ρ_i=0.7),6,ygap,ε_rn,0.054560795601738175
+ Smoothing (ρ_i=0.7),7,ygap,ε_rn,0.041428830778688516
+ Smoothing (ρ_i=0.7),8,ygap,ε_rn,0.032064744542712686
+ Smoothing (ρ_i=0.7),9,ygap,ε_rn,0.025127977628824277
+ Smoothing (ρ_i=0.7),10,ygap,ε_rn,0.01984792583561799
+ Smoothing (ρ_i=0.7),11,ygap,ε_rn,0.015754732866968997
+ Smoothing (ρ_i=0.7),12,ygap,ε_rn,0.012543741049842065
+ Smoothing (ρ_i=0.7),13,ygap,ε_rn,0.010005824524844364
+ Smoothing (ρ_i=0.7),14,ygap,ε_rn,0.007990490460942119
+ Smoothing (ρ_i=0.7),15,ygap,ε_rn,0.006385509384094568
+ Smoothing (ρ_i=0.7),0,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),1,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),2,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),3,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),4,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),5,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),6,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),7,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),8,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),9,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),10,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),11,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),12,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),13,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),14,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),15,ν,ε_rn,0.0
+ Smoothing (ρ_i=0.7),0,π,ε_rn,0.11440698955523253
+ Smoothing (ρ_i=0.7),1,π,ε_rn,0.07199879581273781
+ Smoothing (ρ_i=0.7),2,π,ε_rn,0.04811346049272265
+ Smoothing (ρ_i=0.7),3,π,ε_rn,0.033882938424746566
+ Smoothing (ρ_i=0.7),4,π,ε_rn,0.024867994663716794
+ Smoothing (ρ_i=0.7),5,π,ε_rn,0.018807064393540338
+ Smoothing (ρ_i=0.7),6,π,ε_rn,0.014517456090521437
+ Smoothing (ρ_i=0.7),7,π,ε_rn,0.011357382176178927
+ Smoothing (ρ_i=0.7),8,π,ε_rn,0.00896126497925011
+ Smoothing (ρ_i=0.7),9,π,ε_rn,0.007108464956249841
+ Smoothing (ρ_i=0.7),10,π,ε_rn,0.005657359897495333
+ Smoothing (ρ_i=0.7),11,π,ε_rn,0.004511600350866917
+ Smoothing (ρ_i=0.7),12,π,ε_rn,0.003602339776614922
+ Smoothing (ρ_i=0.7),13,π,ε_rn,0.0028785003167923185
+ Smoothing (ρ_i=0.7),14,π,ε_rn,0.002301162470001671
+ Smoothing (ρ_i=0.7),15,π,ε_rn,0.0018401343862072144
+ Smoothing (ρ_i=0.7),0,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),1,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),2,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),3,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),4,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),5,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),6,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),7,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),8,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),9,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),10,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),11,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),12,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),13,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),14,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),15,attack,ε_ν,0.0
+ Smoothing (ρ_i=0.7),0,i,ε_ν,0.016202674912254796
+ Smoothing (ρ_i=0.7),1,i,ε_ν,0.017592415302596115
+ Smoothing (ρ_i=0.7),2,i,ε_ν,0.014378870683481954
+ Smoothing (ρ_i=0.7),3,i,ε_ν,0.010484634595439772
+ Smoothing (ρ_i=0.7),4,i,ε_ν,0.007193011534622748
+ Smoothing (ρ_i=0.7),5,i,ε_ν,0.004754085623747838
+ Smoothing (ρ_i=0.7),6,i,ε_ν,0.0030653550196364605
+ Smoothing (ρ_i=0.7),7,i,ε_ν,0.0019426357012983814
+ Smoothing (ρ_i=0.7),8,i,ε_ν,0.0012158212966033553
+ Smoothing (ρ_i=0.7),9,i,ε_ν,0.0007538979170532852
+ Smoothing (ρ_i=0.7),10,i,ε_ν,0.0004641940903237142
+ Smoothing (ρ_i=0.7),11,i,ε_ν,0.0002842754497961488
+ Smoothing (ρ_i=0.7),12,i,ε_ν,0.00017336283030921468
+ Smoothing (ρ_i=0.7),13,i,ε_ν,0.00010537667549841767
+ Smoothing (ρ_i=0.7),14,i,ε_ν,6.388615880856376e-5
+ Smoothing (ρ_i=0.7),15,i,ε_ν,3.865237956146078e-5
+ Smoothing (ρ_i=0.7),0,rn,ε_ν,-1.1361925664456757e-17
+ Smoothing (ρ_i=0.7),1,rn,ε_ν,-9.089540531565407e-18
+ Smoothing (ρ_i=0.7),2,rn,ε_ν,-7.271632425252326e-18
+ Smoothing (ρ_i=0.7),3,rn,ε_ν,-5.8173059402018605e-18
+ Smoothing (ρ_i=0.7),4,rn,ε_ν,-4.653844752161489e-18
+ Smoothing (ρ_i=0.7),5,rn,ε_ν,-3.7230758017291915e-18
+ Smoothing (ρ_i=0.7),6,rn,ε_ν,-2.9784606413833535e-18
+ Smoothing (ρ_i=0.7),7,rn,ε_ν,-2.382768513106683e-18
+ Smoothing (ρ_i=0.7),8,rn,ε_ν,-1.9062148104853464e-18
+ Smoothing (ρ_i=0.7),9,rn,ε_ν,-1.5249718483882772e-18
+ Smoothing (ρ_i=0.7),10,rn,ε_ν,-1.2199774787106218e-18
+ Smoothing (ρ_i=0.7),11,rn,ε_ν,-9.759819829684975e-19
+ Smoothing (ρ_i=0.7),12,rn,ε_ν,-7.80785586374798e-19
+ Smoothing (ρ_i=0.7),13,rn,ε_ν,-6.246284690998385e-19
+ Smoothing (ρ_i=0.7),14,rn,ε_ν,-4.997027752798708e-19
+ Smoothing (ρ_i=0.7),15,rn,ε_ν,-3.9976222022389665e-19
+ Smoothing (ρ_i=0.7),0,ygap,ε_ν,-0.1229456742271735
+ Smoothing (ρ_i=0.7),1,ygap,ε_ν,-0.0909496418524372
+ Smoothing (ρ_i=0.7),2,ygap,ε_ν,-0.06291643973031051
+ Smoothing (ρ_i=0.7),3,ygap,ε_ν,-0.04180443729358417
+ Smoothing (ρ_i=0.7),4,ygap,ε_ν,-0.02705226177326627
+ Smoothing (ρ_i=0.7),5,ygap,ε_ν,-0.017188133856338318
+ Smoothing (ρ_i=0.7),6,ygap,ε_ν,-0.01077765595892896
+ Smoothing (ρ_i=0.7),7,ygap,ε_ν,-0.0066923687007816035
+ Smoothing (ρ_i=0.7),8,ygap,ε_ν,-0.004125096518206456
+ Smoothing (ρ_i=0.7),9,ygap,ε_ν,-0.0025283351305077674
+ Smoothing (ρ_i=0.7),10,ygap,ε_ν,-0.0015428816748031015
+ Smoothing (ρ_i=0.7),11,ygap,ε_ν,-0.0009383010812842416
+ Smoothing (ρ_i=0.7),12,ygap,ε_ν,-0.0005690878150051724
+ Smoothing (ρ_i=0.7),13,ygap,ε_ν,-0.0003444193810771598
+ Smoothing (ρ_i=0.7),14,ygap,ε_ν,-0.00020809276542301666
+ Smoothing (ρ_i=0.7),15,ygap,ε_ν,-0.00012555572355349898
+ Smoothing (ρ_i=0.7),0,ν,ε_ν,0.3
+ Smoothing (ρ_i=0.7),1,ν,ε_ν,0.18000000000000002
+ Smoothing (ρ_i=0.7),2,ν,ε_ν,0.10800000000000003
+ Smoothing (ρ_i=0.7),3,ν,ε_ν,0.06480000000000002
+ Smoothing (ρ_i=0.7),4,ν,ε_ν,0.03888000000000002
+ Smoothing (ρ_i=0.7),5,ν,ε_ν,0.023328000000000015
+ Smoothing (ρ_i=0.7),6,ν,ε_ν,0.01399680000000001
+ Smoothing (ρ_i=0.7),7,ν,ε_ν,0.008398080000000007
+ Smoothing (ρ_i=0.7),8,ν,ε_ν,0.0050388480000000055
+ Smoothing (ρ_i=0.7),9,ν,ε_ν,0.003023308800000004
+ Smoothing (ρ_i=0.7),10,ν,ε_ν,0.0018139852800000025
+ Smoothing (ρ_i=0.7),11,ν,ε_ν,0.0010883911680000017
+ Smoothing (ρ_i=0.7),12,ν,ε_ν,0.0006530347008000011
+ Smoothing (ρ_i=0.7),13,ν,ε_ν,0.0003918208204800007
+ Smoothing (ρ_i=0.7),14,ν,ε_ν,0.00023509249228800046
+ Smoothing (ρ_i=0.7),15,ν,ε_ν,0.0001410554953728003
+ Smoothing (ρ_i=0.7),0,π,ε_ν,-0.023012164341487076
+ Smoothing (ρ_i=0.7),1,π,ε_ν,-0.01579335746248148
+ Smoothing (ρ_i=0.7),2,π,ε_ν,-0.010440786819530565
+ Smoothing (ρ_i=0.7),3,π,ε_ν,-0.006733131753244385
+ Smoothing (ρ_i=0.7),4,π,ε_ν,-0.004267540924878121
+ Smoothing (ρ_i=0.7),5,π,ε_ν,-0.002671116382305201
+ Smoothing (ρ_i=0.7),6,π,ε_ν,-0.0016563922736615192
+ Smoothing (ρ_i=0.7),7,π,ε_ν,-0.0010199322385108921
+ Smoothing (ρ_i=0.7),8,π,ε_ν,-0.0006246364812767645
+ Smoothing (ρ_i=0.7),9,π,ε_ν,-0.00038094009109533095
+ Smoothing (ρ_i=0.7),10,π,ε_ν,-0.00023155553865137908
+ Smoothing (ρ_i=0.7),11,π,ε_ν,-0.00014038650319514462
+ Smoothing (ρ_i=0.7),12,π,ε_ν,-8.493781648291946e-5
+ Smoothing (ρ_i=0.7),13,π,ε_ν,-5.1305603618797155e-5
+ Smoothing (ρ_i=0.7),14,π,ε_ν,-3.094994015572486e-5
+ Smoothing (ρ_i=0.7),15,π,ε_ν,-1.8650883060953424e-5
+ Smoothing (ρ_i=0.7),0,attack,ε_att,1.0
+ Smoothing (ρ_i=0.7),1,attack,ε_att,0.8
+ Smoothing (ρ_i=0.7),2,attack,ε_att,0.6400000000000001
+ Smoothing (ρ_i=0.7),3,attack,ε_att,0.5120000000000001
+ Smoothing (ρ_i=0.7),4,attack,ε_att,0.40960000000000013
+ Smoothing (ρ_i=0.7),5,attack,ε_att,0.32768000000000014
+ Smoothing (ρ_i=0.7),6,attack,ε_att,0.2621440000000001
+ Smoothing (ρ_i=0.7),7,attack,ε_att,0.2097152000000001
+ Smoothing (ρ_i=0.7),8,attack,ε_att,0.1677721600000001
+ Smoothing (ρ_i=0.7),9,attack,ε_att,0.13421772800000006
+ Smoothing (ρ_i=0.7),10,attack,ε_att,0.10737418240000006
+ Smoothing (ρ_i=0.7),11,attack,ε_att,0.08589934592000005
+ Smoothing (ρ_i=0.7),12,attack,ε_att,0.06871947673600004
+ Smoothing (ρ_i=0.7),13,attack,ε_att,0.054975581388800036
+ Smoothing (ρ_i=0.7),14,attack,ε_att,0.043980465111040035
+ Smoothing (ρ_i=0.7),15,attack,ε_att,0.03518437208883203
