ρ_p,K_gain,L_no_attack,L_attack
0.85,0.15,3.569163260132751,6.3480837450829055
0.85,0.175,3.473687582049081,6.65900439153086
0.85,0.2,3.395906805138346,6.941287180236496
0.85,0.225,3.3318485649302776,7.195629431160026
0.85,0.25,3.2785909735140515,7.424014765910901
0.85,0.275,3.2339451905634506,7.628892988008962
0.85,0.3,3.1962449530493404,7.812775360560295
0.85,0.325,3.1642036168021894,7.978043815319483
0.85,0.35,3.13681496248258,8.126870600473262
0.85,0.375,3.1132830488471437,8.261194338029881
0.85,0.4,3.0929717551697675,8.382724000081954
0.85,0.425,3.075367924172449,8.492955740211546
0.85,0.45,3.0600540614805936,8.593194673081523
0.85,0.475,3.0466878550636705,8.68457754358682
0.85,0.5,3.0349866311747316,8.76809430225244
0.85,0.525,3.024715430173918,8.844607717301
0.85,0.55,3.0156777686895517,8.91487074193409
0.85,0.575,3.007708417448577,8.979541655289967
0.85,0.6,3.000667707084167,9.03919713792127
0.85,0.625,2.994437003275099,9.094343499922903
0.85,0.65,2.9889150846981356,9.14542629230715
0.85,0.675,2.984015223795902,9.192838522240779
0.85,0.7,2.9796628189074656,9.236927672633977
0.85,0.725,2.9757934620857887,9.278001702943007
0.85,0.75,2.972351353542407,9.316334184392051
0.85,0.775,2.969287993631915,9.352168700802581
0.85,0.8,2.9665610984011535,9.38572262655305
0.85,0.825,2.9641336962514258,9.417190376046282
0.85,0.85,2.9619733721118346,9.446746204340519
0.85,0.875,2.9600516323696207,9.474546626094432
0.85,0.9,2.958343369131573,9.50073250940937
0.85,0.925,2.9568264065672203,9.525430892267226
0.85,0.95,2.955481115374447,9.548756561807242
0.85,0.975,2.954290084016211,9.570813430434523
0.85,1.0,2.9532378374546138,9.591695737518403
0.95,0.0,5.094323356218399,5.094323356218399
0.95,0.025,4.358603813842768,5.257063052963082
0.95,0.05,3.9182309106358755,6.104871645483417
0.95,0.075,3.630281373573714,6.894952126127104
0.95,0.1,3.43298139614947,7.523704234708585
0.95,0.125,3.2935610438063496,8.005494349845018
0.95,0.15,3.1928083844693016,8.372180436931966
0.95,0.175,3.1187644744665444,8.65221749443978
0.95,0.2,3.0636638340078903,8.867529797126213
0.95,0.225,3.0222950081673297,9.034312622060856
0.95,0.25,2.9910642019155955,9.164412051140333
0.95,0.275,2.9674352447109182,9.26651516450965
0.95,0.3,2.949582244469791,9.347041716775506
0.95,0.325,2.9361675375829317,9.410782381295864
0.95,0.35,2.926195989349736,9.461349366827262
0.95,0.375,2.9189171769436184,9.501494435968535
0.95,0.4,2.9137583658754296,9.533334629961697
0.95,0.425,2.9102777372993454,9.558513865826782
0.95,0.45,2.9081312030286703,9.578319768596366
0.95,0.475,2.9070485047736145,9.59376901052688
0.95,0.5,2.9068157630261866,9.605670287447248
0.95,0.525,2.907262574826348,9.614671257278912
0.95,0.55,2.908252364737517,9.621293860712338
0.95,0.575,2.909675092391054,9.625961142172304
0.95,0.6,2.9114416873866458,9.629017792339862
0.95,0.625,2.9134797642636334,9.630746010051626
0.95,0.65,2.915730295749719,9.631377843923888
0.95,0.675,2.9181450101792117,9.631104864152837
0.95,0.7,2.920684340985981,9.630085793360001
0.95,0.725,2.9233158005269657,9.628452565460325
0.95,0.75,2.926012682547384,9.626315165132915
0.95,0.775,2.9287530209980077,9.623765515015933
0.95,0.8,2.9315187501541087,9.620880614493693
0.95,0.825,2.9342950237971985,9.61772508675176
0.95,0.85,2.9370696608218934,9.614353255311107
0.95,0.875,2.939832691880685,9.610810844406881
0.95,0.9,2.942575987194195,9.60713637711429
0.95,0.925,2.9452929498806304,9.603362329434097
0.95,0.95,2.947978262414838,9.599516086433619
0.95,0.975,2.950627676356019,9.595620737137715
0.95,1.0,2.9532378374546138,9.591695737518403
