h,rho_att,i0_bp,icum8_bp
0.0,0.0,10.062641289643768,16.180276575052883
0.0,0.05,9.836383330177798,16.519059725389763
0.0,0.1,9.588137440988646,16.841001533533763
0.0,0.15,9.314501027268845,17.133950356716017
0.0,0.2,9.011325107238257,17.380485341660883
0.0,0.25,8.673496325605589,17.555400647678905
0.0,0.3,8.294637399634865,17.621808683706163
0.0,0.35,7.866687865089769,17.52504838745555
0.0,0.4,7.37930508955855,17.183083737649042
0.0,0.45,6.8189883421612665,16.471227699080643
0.0,0.5,6.167763390833959,15.197533909295561
0.0,0.55,5.4011457632351,13.062471646979652
0.0,0.6,4.484872715567283,9.591289073236625
0.0,0.65,3.369434399585031,4.016973926039379
0.0,0.7,1.9804491868891458,-4.9307835665670785
0.0,0.75,0.20064939953362693,-19.42724642325204
0.0,0.8,-2.1665375363137738,-43.373501565547386
0.0,0.85,-5.4783309124349095,-84.24184874880889
0.0,0.9,-10.460454510415824,-157.808056249579
0.0,0.95,-18.852116413705915,-302.8596905731086
0.05,0.0,10.2268341065481,16.21690188480151
0.05,0.05,10.00687043436506,16.557927185894503
0.05,0.1,9.76543529063894,16.882389524884072
0.05,0.15,9.499194633512207,17.178196951701437
0.05,0.2,9.20408120833394,17.42800868723045
0.05,0.25,8.875080014967649,17.60672807943785
0.05,0.3,8.505933397097303,17.67761801104712
0.05,0.35,8.088728144488677,17.586225720281053
0.05,0.4,7.613305388262284,17.250803213124033
0.05,0.45,7.0663973762024,16.5470593340399
0.05,0.5,6.430330742699029,15.28358612488138
0.05,0.55,5.6810180858517,13.161573800488956
0.05,0.6,4.784734485897792,9.70721433334852
0.05,0.65,3.6927218920340037,4.154688833956275
0.05,0.7,2.3316912899843993,-4.764891857100645
0.05,0.75,0.586042810235632,-19.22530154200122
0.05,0.8,-1.738083578393572,-43.126583693733764
0.05,0.85,-4.993105695145323,-83.9418871128099
0.05,0.9,-9.895183580626217,-157.4537158207994
0.05,0.95,-18.160815536006524,-302.4735721489419
0.1,0.0,10.392630943736942,16.25653647486259
0.1,0.05,10.179047451901829,16.59999640922902
0.1,0.1,9.944517338852906,16.927198618860416
0.1,0.15,9.685776306125621,17.22611772031043
0.1,0.2,9.398840240418776,17.4795024336447
0.1,0.25,9.078794187789347,17.662378250159254
0.1,0.3,8.71950215461202,17.738176291297133
0.1,0.35,8.313200655289842,17.652676320388256
0.1,0.4,7.849917606880095,17.32445114356735
0.1,0.45,7.316621966533139,16.629649392313837
0.1,0.5,6.695945885631996,15.377459644591776
0.1,0.55,5.964204893466589,13.26986886026134
0.1,0.6,5.08821937130585,9.834109610527735
0.1,0.65,4.019992740159325,4.305675872839595
0.1,0.7,2.687341329941675,-4.582762178504166
0.1,0.75,0.9763501940875496,-19.00334904491216
0.1,0.8,-1.3041044339455643,-42.85499919337353
0.1,0.85,-4.501604305181095,-83.61183716394582
0.1,0.9,-9.32268983981085,-157.06388492779303
0.1,0.95,-17.46103531672511,-302.04930707432806
0.15,0.0,10.560203562136511,16.299566748717332
0.15,0.05,10.353095712903874,16.645681394808054
0.15,0.1,10.125575463092458,16.975875249134432
0.15,0.15,9.874449592906508,17.278197812562762
0.15,0.2,9.59581871767267,17.53549866715764
0.15,0.25,9.284869828815715,17.722940982755496
0.15,0.3,8.935590883732713,17.804145294490514
0.15,0.35,8.540370899599115,17.72515258897963
0.15,0.4,8.089427979856525,17.40489507380734
0.15,0.45,7.56997199027887,16.720012615032772
0.15,0.5,6.9649458354398925,15.48035813420833
0.15,0.55,6.2510745749412235,13.388803425284298
0.15,0.6,5.39573230700159,9.973733765494702
0.15,0.65,4.351694802420447,4.4720940299829595
0.15,0.7,3.047898018685288,-4.381726470938063
0.15,0.75,1.3721310592177416,-18.75808227180593
0.15,0.8,-0.863967251582059,-42.55466263760798
0.15,0.85,-4.00310465938373,-83.2467208286032
0.15,0.9,-8.742141813093248,-156.63271954962175
0.15,0.95,-16.75180839305478,-301.5806974640122
0.2,0.0,10.729752256925185,16.3464637317053
0.2,0.05,10.529226722600026,16.69548840798402
0.2,0.1,10.308833530924902,17.028967358066257
0.2,0.15,10.065452047645874,17.335035165678896
0.2,0.2,9.795269409216205,17.59665612825223
0.2,0.25,9.493576698648821,17.789149906939247
0.2,0.3,9.154488412162582,17.876351913306745
0.2,0.35,8.770549213526719,17.80459863378622
0.2,0.4,8.332171243024336,17.49322749751106
0.2,0.45,7.826810032576597,16.81943034195895
0.2,0.5,7.237725174511199,15.59380411150577
0.2,0.55,6.542058738888897,13.5202085466406
