regime,K_gain,A,ρ_att,raw_payoff_bp,p_det,expected_utility_bp
Naive Fed (K=1.00),1.0,0.1,0.0,-1.2141410788587097,0.0,-1.2141410788587097
Naive Fed (K=1.00),1.0,0.1,0.05,-1.2191113078854083,0.00043312316291999053,-1.2185832825397855
Naive Fed (K=1.00),1.0,0.1,0.1,-1.2183941196443266,0.0008660587301657641,-1.2173389187802262
Naive Fed (K=1.00),1.0,0.1,0.15,-1.2099741512639806,0.0012988067829893257,-1.2084026286290772
Naive Fed (K=1.00),1.0,0.1,0.2,-1.191101930694019,0.0017313674026074866,-1.1890396956380325
Naive Fed (K=1.00),1.0,0.1,0.25,-1.1579744849230345,0.0021637406702019746,-1.1554689284349502
Naive Fed (K=1.00),1.0,0.1,0.3,-1.1052494581799812,0.0025959266669191017,-1.1023803116378939
Naive Fed (K=1.00),1.0,0.1,0.35,-1.0252968123361468,0.0030279254738704298,-1.022192289999796
Naive Fed (K=1.00),1.0,0.1,0.4,-0.9070337816595486,0.0034597371721322157,-0.9038956831687615
Naive Fed (K=1.00),1.0,0.1,0.45,-0.7340903262860491,0.0038913618427453,-0.7312337152012112
Naive Fed (K=1.00),1.0,0.1,0.5,-0.481881211844274,0.004322799566715996,-0.479798135950505
Naive Fed (K=1.00),1.0,0.1,0.55,-0.1128526935013175,0.004754050425014977,-0.11231618610581348
Naive Fed (K=1.00),1.0,0.1,0.6,0.43140598952947906,0.0051851144985782804,0.42916910007839626
Naive Fed (K=1.00),1.0,0.1,0.65,1.2436312881675646,0.005615991868306525,1.236647064966044
Naive Fed (K=1.00),1.0,0.1,0.7,2.474735486489066,0.0060466826150655795,2.4597715464460266
Naive Fed (K=1.00),1.0,0.1,0.75,4.378062039176992,0.0064771868196862314,4.349704513441067
Naive Fed (K=1.00),1.0,0.1,0.8,7.3966059002978515,0.006907504562964073,7.345513811291097
Naive Fed (K=1.00),1.0,0.1,0.85,12.349001634167832,0.007337635925659947,12.25838915613093
Naive Fed (K=1.00),1.0,0.1,0.9,20.87032555052537,0.007767580988499501,20.70821360655531
Naive Fed (K=1.00),1.0,0.1,0.95,36.623453374124225,0.008197339832173522,36.32323848098876
Naive Fed (K=1.00),1.0,0.2,0.0,-2.4282821577174194,0.0,-2.4282821577174194
Naive Fed (K=1.00),1.0,0.2,0.05,-2.4382226157708167,0.0017313674026074866,-2.434001156613571
