regime,K_gain,L_no_attack,L_attack,Δ_attack
Naive (K=1.00),1.0,1.366048013647024,4.767196999379788,3.401148985732764
Filter (K=0.50),0.5,1.4296539757081024,4.518063426892649,3.0884094511845466
Heavy filter (K=0.20),0.2,1.6941718698500132,3.860801821135021,2.1666299512850076
